fhdi_drug_id,drug_name,synonyms,drug_type,summary,formula
d00262,nimodipine,admon brainal calnit kenesil modus nimogel nimodipinisis nimodipino nimodipinum nimotop periplum remontal almirall brand of nimodipine alpharma brand of nimodipine andromaco brand of nimodipine bayer brand of nimodipine bayvit brand of nimodipine cantabria brand of nimodipine elan brand of nimodipine esteve brand of nimodipine hexal brand of nimodipine nimodipin hexal nimodipin isis nimodipino bayvit vita brand of nimodipine baye 9736 drg0139 eg1961 n149 nimotop tn nimodipinisis nimodipino innspanish nimodipinum innlatin nimotop tn nimotoptm nimotop nimodipine baye9736 nimodipine usaninn nimodipine usanbaninn periplum nimotop brn 0459792 drg0139 isopropyl 2methoxyethyl 14dihydro26dimethyl4mnitrophenyl35pyridinedicarboxylate 14dihydro26dimethyl43primenitrophenyl35pyridinedicarboxylic acid 2methoxyethyl1methylethyl ester 14dihydro26dimethyl43nitrophenyl35pyridinedicarboxylic acid 14dihydro26dimethyl43nitrophenyl35pyridinedicarboxylic acid 2methoxyethyl 1methylethyl ester1methylethyl 2methyloxyethyl 26dimethyl43nitrophenyl14dihydropyridine35dicarboxylate 2methoxyethyl1methylethyl ester 2methoxyethyl propan2yl 26dimethyl43nitrophenyl14dihydropyridine35dicarboxylate 35pyridinedicarboxylic acid 14dihydro26dimethyl43nitrophenyl 2methoxyethyl 1methylethyl ester 35pyridinedicarboxylic acid 14dihydro26dimethyl43nitrophenyl2methoxyethyl 1methylethyl ester 35pyridinecarboxylic acid 2methoxyethyl 1methylethyl ester 35pyridinedicarboxylic acid 14dihydro26dimethyl43nitrophenyl 2methoxyethyl 1methylethyl ester 32methoxyethyl 5propan2yl 26dimethyl43nitrophenyl14dihydropyridine35dicarboxylate 3o2methoxyethyl 5opropan2yl 26dimethyl43nitrophenyl14dihydropyridine35dicarboxylate 444chlorophenyl4hydroxy1piperidylnndimethyl22diphenylbutanamide,small molecular drug,nimodipine is a calcium channel blocker used to improve neurological outcomes in patients with subarachnoid hemorrhage due to a ruptured intracranial aneurysm,c21h26n2o7
d00263,nisoldipine,baymycard nisocor nisoldipin nisoldipino nisoldipinum sular syscor zadipina bay k 5552 nisoldipino innspanish nisoldipinum innlatin sular tn bayk5552 nisoldipine janusaninn nisoldipine usanbaninnjan isobutyl 14dihydro5methoxycarbonyl26dimethyl42nitrophenyl3pyridincarboxylatmethyl 2methylpropyl 26dimethyl42nitrophenyl14dihydropyridine35dicarboxylate isobutyl methyl 14dihydro26dimethyl4onitrophenyl35pyridinedicarboxylate 35pyridinedicarboxylic acid 14dihydro26dimethyl42nitrophenyl methyl 2methylpropyl ester 3omethyl 5o2methylpropyl 26dimethyl42nitrophenyl14dihydropyridine35dicarboxylate,small molecular drug,nisoldipine is a calcium channel blocker used as monotherapy or combined with other drugs for the treatment of hypertension,c20h24n2o6
d00264,nitrazepam,alodorm apodorm benzalin calsamin calsmin cerson dormalon dumolid eatan epibenzalin epinelbon eunoctin eunoktin gerson hipnax hipsal ibrovek imadorm imeson imesont ipersed magadon megadon mitidin mogadan mogadon mogadone nelbon nelmat neozepam neuchlonic nitrados nitravet nitrazadon nitrazep nitrazepamum nitrempax nitrenpax nitrodiazepam noctesed novanox pacisyn paxisyn pelson persopit radedorm relact remnos serenade somitran somnased somnibel somnite sonebon sonnolin surem trazenin unisomnia aliud brand of nitrazepam allphar brand of nitrazepam alphapharma brand of nitrazepam alpharma brand of nitrazepam alter brand of nitrazepam csp brand of nitrazepam ddsa brand of nitrazepam dermatech brand of nitrazepam desitin brand of nitrazepam dormicum brand of nitrazepam eatan n icn brand of nitrazepam neuraxpharm brand of nitrazepam nitrazepam al norgine brand of nitrazepam pfleger brand of nitrazepam protea brand of nitrazepam rhoxalpharma brand of nitrazepam sandoz nitrazepam scheurich brand of nitrazepam sonebon tofraniln a taurus brandof nitrazepam united drug brand of nitrazepam wernigerode brand of nitrazepam la 1 s 2000 alodorm tn aponitrazepam tablets bp apodorm tn arem tn benzalin tn cavodan tn ctarzneimittel brand of nitrazepam dima tn dormalon tn dormicum anticonvulsant dormigen tn dormin5 dormopuren dumolid tn eatan n tn eunoctin tn hypnotex tn isopropylacetatenitrazepam imeson tn insoma tn insomin tn ipersed tn la 1 van mitidin tn mogadan tn mogadon tn ndesmethylnimetazepam nitavan tn nitepam tn nitrados tn nitrapan tn nitravet tn nitrazadon tn nitrazep tn nitrazepam tn nitrazepam capsules bp 1993 tn nitrazepam oral suspension bp 1993 tn nitrazepam tablets bp 1993 tn nitrazepam10 nitrazepam5 nitrazepamneuraxpharm nitrazepamum innlatin nitrazepan tn nitrazepol tn nitredon tn nitrosun tn novanox tn numbon tn onirema tn ormodon tn pacisyn tn paxadorm tn pelson tn pelsonfilina tn protraz tn radedorm tn remnos tn rhoxalnitrazepam ro 45360 ro 53059 ro 5360 serenade tn somnibel n tn somnipar tn somnite tn sonebon tn sonotrat tn surem tn tri tn unisomnia tn dormopuren tn nitrazepam jp15usaninn nitrazepam usaninnbanjan 13dihydro7nitro5phenyl2h14benzodiazepin2one 23dihydro7nitro5phenyl1h14benzodiazepin2on 7nitro13dihydro5phenyl2h14benzodiazepin2one 7nitro5phenyl13dihydro2h14benzodiazepin2one 7nitro5phenyl23dihydro1h14benzodiazepin2one 7nitro5phenyl13dihydro14benzodiazepin2one,small molecular drug,nitrazepam is a longacting benzodiazepine with intermediate onset commonly used to treat panic disorders severe anxiety insomnia and seizures,c15h11n3o3
d00265,nitrendipine,baylotensin bayotensin baypress bylotensin deiten gericin jutapress nidrel niprina nitrepuren nitregamma nitrendepat nitrendidoc nitrendimerck nitrendipin nitrendipincorax nitrendipino nitrendipinum nitrensal nitrepin nitrepress tensogradal trendinol vastensium nitre abz nitre puren nitren lichnitren acis nitrend ksk nitrendi biochemie nitrendipin al nitrendipin apogepha nitrendipin atid nitrendipin basics nitrendipin heumann nitrendipin lindo nitrendipin stada nitrendipin beta nitrendipin corax nitrendipin von ct nitrendipino bayvit nitren 1a pharma al nitrendipin abz nitre acis nitren atid nitrendipin basics nitrendipin baypress tn bayvit nitrendipino beta nitrendipin biochemie nitrendi ct nitrendipin von heumann nitrendipin ksk nitrend lich nitren lindo nitrendipin n144 nitrepuren nitrendipincorax pharma nitren 1a stada nitrendipin von ct nitrendipin baye5009 1a pharma nitren,small molecular drug,nitrendipine is a dihydropyridine calcium channel blocker indicated in the treatment of arterial hypertension,c18h20n2o6
d00266,nitroglycerin,nitroglycerin glyceryl trinitrate trinitroglycerin nitroglycerol nitrostat nitroglycerine nitrodur minitran trinitroglycerol 55630 nitroderm nitroglyn nitrospan nitronet tridil glycerol trinitrate transdermnitro transderm nitro epinitril susadrin perlinganit nitrolingual nitrolan sustonit nitrocine trinitrin natispray lenitral nitrong niong nitrobid nitroderm tts trinitrosan rectogesic nitroglicerina cordipatch perglottal nitrorectal gilustenon nitroretard nitroplast corditrine trinitrolong  adesitrin aldonitrin angibid angiolingual angiplex anglix angonist angorin anogesic buccal buccard cardabid cardamist cardinit cardiodisco cellegesic chitamite colenitral dauxona deponit diafusor discotrine dynamite gtn glonoin glycerintrinitrate glyceroltrinitraat glyceryl glycerylnitrat glytrin herwicard herzer klavikordal lentonitrina millisrol minitram minitro mionitrat myocon myoglycerin myovin ntg niglin niglycon nirmin nitora nitradisc nitrangin nitrek nitriderm nitrobid nitrocor nitrodur nitromist nitroquick nitroquik nitroard nitrobaat nitrobukal nitrocap nitrocard nitrocerin nitroclyn nitrocontin nitrocot nitrodisc nitrodyl nitrogard nitrogliceryna nitroglin nitroject nitroletten nitrolin nitrolowe nitromel nitromex nitromint nitropatch nitropen nitropercuten nitroperlinit nitroprol nitropront nitroprontan nitrorex nitrostabilin nitrovis nysconitrine percutol perganit plastranit polnitrin ratiopharm soup suscard sustac sustak tng temponitrin trinalgon trinipatch triniplas trinitrol trinitron turicard vascana vasoglyn vasolator vernies willong blasting gelatin blasting oil gepan nitroglicerin gilucor nitro glycerin trinitrate glycerine trinitrate glyceryl nitrate nitro iv neos nitro opt niong retard nitradisc pad nitradisc tts nitriderm tts nitro bid nitro dur nitro dur tts nitro mack retard nitro retard nitro rorer nitrobid oint nitrocontin continus nitroderm tts ext nitrodyl tts nitrol ointment nitrolingual spray nitromack retard nitromint aerosol nitromint retard nitronal aqueous nitrong retard nitrong parenteral nitrozell retard percutol oint spirit of glonoin tridil sublin trinitrin tablets trinitrina erba deponit 5 deponit tts 10 deponit tts 5 nitrocine 5 aquotrimitrosan coronitro deponit5 gtnpohl imx150 med2002 mqx503 mitrates minitran tn nk843 natispray tn nitret nitrinetdc nitrodur 10 nitrodur 5 nitrogesanit retard nitromack retard nitropar nitropflaster nitrospan nitrotime nitrolent nitrocaptd nitroderm tts5 nitrogardsr nitroglycerin ng nitroglycerinacc nitrolingual pump spray tn nitromist tn nitrongsr nitrospan tn nitrostat tn sdm no 17 sk106n sk866 sk878 topnitro transderm nitro tn transdermn tts transdermnitro tts transidermnitro tridil tn trinipatch tn trinitrate glyceryl nitrodur tn nitrombid nitrobid tn nitrodur tn transdermnitro tn dwp401,small molecular drug,nitroglycerin is a nitrate vasodilator used to treat or prevent angina heart failure hypertension and anal fissures,c3h5n3o9
d00267,norfloxacin,baccidal barazan chibroxin fulgram lexinor nflx norflo norfloxacine norfloxacino norfloxacinum noroxin sebercim merck brand of norfloxacin norfloxacin merck brand am 0715 am 715 am0715 mk 0366 mk 366 mk0366 mk366 am0715 am715 chibroxin tn insensye tn mk0366 mk366 norflohexal tn norfloxacine innfrench norfloxacino innspanish norfloxacinum innlatin norfocin tn noroxin tn nufloxib tn roxin tn utin tn utinor tn aponorflox tn norfloxacin jp15uspinn norfloxacin usanbaninnjan chibroxin mk366 baccidal sebercim zoroxin norfloxacin 14dihydro1ethyl6fluoro4oxo71piperazinyl3quinolinecarboxylic acid 1ethyl6fluor14dihydro4oxo71piperazinyl3chinolincarbonsaeure 1ethyl6fluoro14dihydro4oxo71piperazinyl3quinolinecarboxylic acid 1ethyl6fluoro14dihydro4oxo71piperazinyl3quinolinecarboxylic acid 1ethyl6fluoro4oxo7piperazin1yl14dihydroquinoline3carboxylic acid 1ethyl6fluoro4oxo7piperazin1yl14dihydroquinoline3carboxylic acid 1ethyl6fluoro4oxo7piperazin1ylquinoline3carboxylic acid,small molecular drug,norfloxacin is a broadspectrum fluoroquinolone antibiotic with variable activity against grampositive and gramnegative bacteria typically reserved for the treatment of utis due to accumulation in the urine,c16h18fn3o3
d00268,nortriptyline,acetexa allegron altilev ateben avantyl aventyl demethylamitriptylene demethylamitriptyline demethylamitryptyline desitriptilina desitriptyline desmethylamitriptylin desmethylamitriptyline lumbeck noramitriptyline noritren nortrilen nortriptilina nortriptylinum nortryptiline nortryptyline pamelor psychostyl sensaval sesaval vividyl aventyl hcl nortriptilina dcit nortriptylene hydrochloride pamelor hydrochloride sensival ventyl nci169453 allegron tn aventyl tn norpress tn nortrilen tn nortriptyline inn nortriptyline innban nortriptylinum innlatin pamelor tn sensoval tn nmethyl31011dihydro5hdibenzoadcyclohepten5ylidenpropylamin 21011dihydronmethyl5hdibenzoadcycloheptenedelta5gammapropylamine 1011dihydro53methylaminopropylidene5hdibenzoad14cycloheptene 1011dihydronmethyl5hdibenzoadcycloheptenedelta5gammapropylamine 1011dihydronmethyl5hdibenzoadcycloheptenedelta5gammapropylamine 31011dihydro5hdibenzoadcyclohepten5ylidenenmethylpropylamine 31011dihydro5hdibenzoadcyclohepten5ylidenenmethyl1propanamine 31011dihydro5hdibenzoad7annulen5ylidenenmethylpropan1amine 53methylaminopropylidenedibenzoaecyclohepta15diene 53methylaminopropylidene1011dihydro5hdibenzoadcycloheptene 5alphamethylaminopropylidenedibenzoadcyclohepta14diene,small molecular drug,nortriptyline is a tricyclic antidepressant used in the treatment of depression,c19h21n
d00269,nylidrin,bufenina buphenin buphenine bupheninum,small molecular drug,nylidrin is a vasodilator used to treat patients with peripheral vascular disorders and elderly patients with symptoms associated with organic mental disorders,c19h25no2
d00270,ofloxacin,bactocin dextrofloxacine danoflox effexin exocin exocine flobacin flodemex flotavid flovid floxal floxil floxin floxstat fugacin inoflox kinflocin kinoxacin liflox loxinter marfloxacin medofloxine mergexin novecin nufafloqo oflx ofx obide occidal ocuflox ofcin oflin oflocee oflocet oflocin oflodal oflodex oflodura oflox ofloxacina ofloxacine ofloxacino ofloxacinum ofloxin ofus onexacin operan orocin otonil oxaldin pharflox praxin puiritol qinolon qipro quinolon quotavil rilox sinflo tabrin taravid tariflox tarivid telbit tructum viotisone visiren xed zanocin floxin otic ofloxacin otic ofloxacina dcit ofloxacine french ofloxacino spanish ofloxacinum latin uro tarivid dl 8280 hoe 280 o 8757 orf 18489 pt 01 dl8280 floxin in dextrose 5 floxin in dextrose 5 in plastic container floxin otic tn hoe280 hoe280 marfloxacin tn oflox orf28489 ocuflox tn ru43280 wp0405 ofloxacin jp15uspinn ofloxacin usanbaninnjan ofloxacin sisomer dl8280 hoe280 exocin flobacin floxin floxil monoflocet ofloxacin 9fluoro23dihydro3methyl104methyl1piperazinyl7oxo7hpyrido123de14benzoxazine6carboxylic acid 9fluoro23dihydro3methyl104methyl1piperaz inyl7oxo7hpyrido123de14benzoxazine6carboxylic acid 9fluoro23dihydro3methyl104methyl1piperazinyl7oxo7hpyrido123de14benzoxazine6carboxylic acid 9fluoro23dihydro3methyl104methyl1piperazinyl7oxo7hpyrido123de14benzoxazine6carboxylic acid floxin 9fluoro23dihydro3methyl104methyl1piperazinyl7oxo7hpyrido123de14benzoxazin6carbonsaeure 9fluoro3methyl104methylpiperazin1yl7oxo23dihydro7h14oxazino234ijquinoline6carboxylic acid,small molecular drug,ofloxacin is an antibacterial agent used for the treatment of bacterial infections in many parts of the body including the respiratory tract kidney skin soft tissue and urinary tract,c18h20fn3o4
d00271,omeprazole,losec tn,small molecular drug,omeprazole is a proton pump inhibitor used to treat gerd associated conditions such as heartburn and gastric acid hypersecretion and to promote healing of tissue damage and ulcers caused by gastric acid and h pylori infection,c17h19n3o3s
d00272,ondansetron,desmethylondansetron zofran zophren zudan sandoz ondansetron zofran in plastic container zofran odt gr 38032 gr 38032x gr38032f apoondansetron gr38032f novoondansetron ondansetron zofran phlondansetron pmsondansetron ratioondansetron sn307 zofran tn zofran odt tn ondansetron usaninnban ondansetron januspinn ondansetron isomer rs1239tetrahydro9methyl32methylimidazol1ylmethylcarbazol4one 1239tetrahydro9methyl32methyl1himidazol1ylmethyl4hcarbazol4one 9methyl32methylimidazol1ylmethyl1239tetrahydrocarbazol4one 9methyl32methyl1himidazol1ylmethyl1239tetrahydro4hcarbazol4one 9methyl32methylimidazol1ylmethyl23dihydro1hcarbazol4one,small molecular drug,ondansetron is a serotonin 5ht3 receptor antagonist used to prevent nausea and vomiting in cancer chemotherapy and postoperatively,c18h19n3o
d00273,orphenadrine,antiflex biorphen brocadisipal brocasipal disipal lysantin mefenamine mephenamine methyldiphenylhydramine myolin myotrol orp orfenadrina orfro orphenadine orphenadinum orphenadrin orphenadrinum orphenate orphenedrine norflex orphenadrine citrate sodium mefenamine ws 2434 banflex tn biorphen tn brocasipal tn disipal tn flexon tn mephenamin tn mialgin tn norflex tn omethyldiphenhydramine omonomethyldiphenhydramine orfenadrina innspanish orphenadrineinn orphenadrine innban orphenadrinum innlatin betadimethylaminoethyl 2methylbenzhydryl ether phenylotolylmethyl dimethyaminoethyl ether betadimethylaminoethyl2methylbenzhydryl ether nndimethyl2alpha2tolylbenzoyloxyethylamin nndimethyl22methylphenylphenylmethoxyethanamine nndimethyl2alpha2tolylbenzoyloxyethylamine nndimethyl22methylphenylphenylmethoxyethanamine nndimethyl2omethylalphaphenylbenzyloxyethylamine nndimethyl2omethylalphaphenylbenzyloxyethylamine nndimethyl22methylphenylphenylmethyloxyethanamine 2phenylotolylmethoxyethyldimethylamine 2methyldiphenhydramine,small molecular drug,orphenadrine is a muscarinic antagonist used as an adjunct for the symptomatic relief of musculoskeletal pain and discomfort,c18h23no
d00274,oteracil,5azaorotic acid allantoxanic acid oteracil oxonate oxonic acid,small molecular drug,oteracil is a chemotherapy agent used in combination with tegafur cisplatin and gimeracil to treat advanced gastric cancer,c4h3n3o4
d00275,oxaprozin,actirin alvo danoprox daypro dayrun deflam oxaprozina oxaprozine oxaprozinum voir xopane apotex brand of oxaprozin csc brand of oxaprozin pfizer brand of oxaprozin rhoxalpharma brand of oxaprozin trb brand of oxaprozin lylpropenoic acid nci310839 o 9637 wy 21743 apooxaprozin daypro tn duraprox tn oxaprozina innspanish oxaprozine innfrench oxaprozinum innlatin rhoxaloxaprozin wy21743 wy21743 oxaprozin jp15usaninn oxaprozin usanbaninnjan beta45diphenyloxazol2ylpropionic acid 34 5diphenyl2oxazo 345diphenyl13oxazol2ylpropanoic acid 345diphenyl2oxazolylpropenoic acid 4 5diphenyl2oxazolepropionic acid 45diphenyl2oxazolepropanoic acid 45diphenyl2oxazolepropionic acid,small molecular drug,oxaprozin is an nsaid used to treat osteoarthritis rheumatoid arthritis and juvenile rheumatoid arthritis,c18h15no3
d00276,oxatomide,celtect oxatimide oxatomida oxatomidum oxetal tinset cbmicro024634 kw 4354 o 9387 r 35443 r35443 celtect tn kw4354 mcnjr 35443 oxatomida innspanish oxatomide tinset oxatomidum innlatin r 35443 r35443 oxatomide janusaninn oxatomide usanbaninnjan 134diphenylmethyl1piperazinylpropyl13dihydro2hbenzimidazol2one 134diphenylmethyl1piperazinylpropyl2benzimidazolinone 134benzhydrylpiperazin1ylpropyl13dihydrobenzoimidazol2one 134diphenylmethyl1piperazinylpropyl13dihydro2hbenzimidazol2one 134diphenylmethyl1piperazinylpropyl2benzimidazolinone 334benzhydrylpiperazin1ylpropyl1hbenzimidazol2one,small molecular drug,oxatomide is an antihistamine indicated in the treatment and prevention of allergic symptoms,c27h30n4o
d00277,oxazepam,abboxampam abboxapam adumbran alepam ansioxacepam anxiolit aplakil astress azutranguil azutranquil bonare drimuel droxacepam durazepam hilong isodin lederpam limbial murelax nesontil noctazepam nortemazepam nozepam ossazepam oxanid oxazepamum oxazipam oxozepam pacienx praxiten propax psicopax psiquiwas quen quilibrex rondar sedigoa serax serenal serenid serepax seresta serpax sigacalm sobril tacepam tarchomin tazepam uskan vaben zaxopam anxiolit retard ossazepam dcit p acienx cb 8092 df2371850 o5254sigma wy 3498 z 10 tr alepam tn apoastress hilong medopam tn murelax tn ndesmethyltemazepam noripam tn oxapuren oxazepamum innlatin purata tn ro 56789 serax tn serenidd serepax tn wy3498 wy3498 stic z10tr oxpam tn tranquobuscopanwirkstoff oxazepam januspinn oxazepam usaninnbanjan 7chloro13dihydro3hydroxy5phenyl2h14benzodiazepin2one oxazepam rsoxazepam 13dihydro7chloro3hydroxy5phenyl2h14benzodiazepin2one 13dihydro7chloro3hydroxy5phenyl3h14benzodiazepin2one 7chloro13dihydro3hydroxy5phenyl142hbenzodiazepin2one 7chloro13dihydro3hydroxy5phenyl2h14benzodiazepin2one 7chloro13dihydro3hydroxy5phenyl2h14benzodiazepine2one 7chloro3hydroxy5phenyl13dihydro2h14benzodiazepin2one 7chloro3hydroxy5phenyl13dihydro14benzodiazepin2one,small molecular drug,oxazepam is an intermediateacting benzodiazepine with slow onset commonly used to treat panic disorders severe anxiety alcohol withdrawals and insomnia,c15h11cln2o2
d00278,oxprenolol,coretal koretal laracor osprenololo oxprenololum tevacor trasacor trasicor osprenololo dcit slow trasicor trasicor 80 captol tn corbeton tn coretal tn dlalprenolol dloxprenolol laracor tn oxprenolol inn oxprenolol tn oxprenolol innban oxprenololum innlatin slowpren tevacor tntrasacor tn trasicor tn trasidex tn trasitensin tn slowpren tn slowtrasicor tn coretal hydrochloride laracor hydrochloride oxprenolol ba 39089 hydrochloride trasacor hydrochloride trasicor hydrochloride slowpren hydrochloride 1oallyloxyphenoxy3isopropylaminopropan2ol oxprenolol 11oallyloxyphenoxy3isopropylaminopropan2ol 11methylethylamino322propenyloxyphenoxy2propanol 1isopropylamino2hydroxy3oallyloxyphenoxypropane 1oallyloxyphenoxy3isopropylamino2propanol 1propan2ylamino32prop2enoxyphenoxypropan2ol 11methylethylamino322propenyloxyphenoxy2propanol 12allyloxyphenoxy3isopropylamino2propanol,small molecular drug,oxprenolol is a nonselective betaadrenergic antagonist used to treat hypertension angina pectoris arrhythmias and anxiety,c15h23no3
d00279,oxybutynin,5633205 ditropan oxytrol oxibutyninum oxybutyninum oxibutinina oxybutyninum innlatin oxybutynine innfrench oxybutinin cystrin oxibutinina innspanish oxybutynin base transdermal patch lyrinel xl oxybutynin usaninnban 4diethylamino2butinyl alphacyclohexylmandelat ccris 1923 oxybutynin topical gel ditropan xl oxybutynin ditropan hsdb 3270 4diethylamino2butynyl alphaphenylcyclohexaneglycolate chembl1231 cyclohexaneglycolic acid alphaphenyl 4diethylamino2b,small molecular drug,oxybutynin is an antimuscarinic agent that reduces detrusor muscle activity relaxing the bladder and preventing the urge to void,c22h31no3
d00280,oxyphenbutazone,tandearil,small molecular drug,oxyphenbutazone is a nonsteroidal antiinflammatory drug nsaid no longer commonly used for the symptomatic relief of musculoskeletal pain,c19h20n2o3
d00281,aminosalicylic acid,4aminosalicylic acid 65496 aminosalicylic acid paminosalicylic acid rezipas aminopar pamisyl parasalindon ferrosan deapasil apacil parasal paser paramycin gabbropas parasalicil pasnodia osacyl aminox pasolac pasmed propasa pasalon entepas pasdium pasara pamacyl pasem pasa 2hydroxy4aminobenzoic acid pask apas parapas sanipirol4 hellipidyl pascorbic pasc benzoic acid 4amino2hydroxy pas acid aminosalicylic acid resin complex aminosalicylate sodium,small molecular drug,aminosalicylic acid is an aminosalicylate drug used to induce remission in ulcerative colitis,c7h7no3
d00282,guanfacine,palmitoylethanolamide palmidrol 544310 n2hydroxyethylhexadecanamide impulsin palmitamide mea hydroxyethylpalmitamide npalmitoylethanolamine n2hydroxyethylpalmitamide palmitic acid monoethanolamide palmitoylea loramine p 256 palmitoyl ethanolamide palmidrolum palmitylethanolamide hexadecanamide n2hydroxyethyl palmidrol inn palmidrolum innlatin unii6r8t1udm3v palmitinsaeurebetahydroxyethylamid monoethanolamine palmitic acid amide nsc 23320 hexadecanoyl ethanolamide anandamide 160,small molecular drug,guanfacine is an alpha2a adrenergic receptor agonist used to treat adhd,c18h37no2
d00283,pantoprazole,astropan pantoprazol pantoprazolum pantoprozole pantor pantozol protium protonix somac pantoprazole na pantoprazole sodium protonix iv by 1023 astropan tn by1023 controloc tn inipomp tn pantecta tn pantoloc tn pantopan tn pantoprazol innspanish pantoprazolum innlatin pantor tn pantotab tn pantozol tn protium tn protonix tn skf 96022 sk96022 skf96022 somac tn ulcepraz tn pantoprazole usaninn pantoprazole usanbaninn skf96022 5difluoromethoxy234dimethoxy2pyridylmethylsulfinylbenzimidazole 5difluoromethoxy234dimethoxypyridin2ylmethylsulfinyl1hbenzimidazole 6difluoromethoxy234dimethoxypyridin2ylmethylsulfinyl1hbenzimidazole,small molecular drug,pantoprazole is a proton pump inhibitor used to treat erosive esophagitis gastric acid hypersecretion and to promote healing of tissue damage caused by gastric acid,c16h15f2n3o4s
d00284,pargyline,benzylmethylpropargylamine benzylmethylpropynylamine eudatin eutron methylbenzylpropynylamine paragyline pargilina pargylamine pargylin pargylinum supirdyl a 19120 mo 911 pargilina innspanish pargyline inn pargyline innban pargylinum innlatin benzylmethyl2propinylamin benzylmethyl2propinylamin czech nmethylnbenzylpropynylamine nmethylnpropargylbenzylamine nmethyln2propynylbenzylamine nbenzylnmethyl2propynylamine nbenzylnmethyl2propyn1 nbenzylnmethyl2propyn1amine nbenzylnmethylprop2yn1amine nmethylnphenylmethylprop2yn1amine,small molecular drug,pargyline is a monoamine oxidase inhibitor with antihypertensive properties,c11h13n
d00285,pemoline,not specified,small molecular drug,pemoline is a central nervous system cns stimulant that was previously used to treat attention deficit hyperactivity disorder adhd and narcolepsy,c9h8n2o2
d00286,pentobarbital,aethaminalum dorsital etaminal ethaminal mebubarbital mebumal nebralin nembutal neodorm pentabarbital pentabarbitone pentobarbitale pentobarbitalum pentobarbitone pentobarbiturate rivadorm pentobarbital calcium pentobarbital suppository dosage form pentobarbitale dcit pentobarbituric acid ethylpropylmethylcarbinylbarbituric acid nembutal tn nembutal van neodorm van neodorm new pentobarbital van pentobarbital uspinn pentobarbital monosodium salt pentobarbitalum innlatin pentobarbitone van pentobarbital uspinn 5ethyl51methylbutylbarbituric acid 5ethyl51methylbutyl2461h3h5hpyrimidinetrione 5ethyl51methylbutylbarbituric acid 5ethyl51methylbutylmalonylurea 5ethyl5secpentylbarbituric acid 5ethyl2hydroxy51methylbutylpyrimidine461h5hdione 5ethyl5pentan2ylpyrimidine2461h3h5htrione5ethyl5pentan2yl13diazinane246trione,small molecular drug,pentobarbital is a barbiturate drug used to induce sleep cause sedation and control certain types of seizures,c11h18n2o3
d00287,pentoxifylline,agapurin azupentat dimethyloxohexylxanthine durapental hemovas ikomio oxpentifylline pentoxyphylinepnx pentoxifilina pentoxifyllin pentoxifyllinum pentoxil pentoxiphyllin pentoxiphylline pentoxiphyllium pentoxyfylline pentoxyphyllin pentoxyphylline ralofect rentylin torental trentalvasofirin vazofirin agapurin retard bl 191 bl191 eht 0201 eht0201 in1161 p 1784 artal tn bl191 eht0201 eht201 flexital tn pentox tn pentoxifilina innspanish pentoxifyllinum innlatin pentoxil tn pentoxin tn trental tn cis9octadecenoyl coenzyme a pentoxifylline usaninnjan pentoxifylline januspinn 1236tetrahydro37dimethyl15oxohexyl26purindion 15oxohexyl37dimethylxanthine 15oxohexyltheobromine 37dihydro37dimethyl15oxohexyl1hpurine26dione 37dimethyl15oxohexyl37dihydropurine26dione 37dimethyl15oxohexyl xantine 37dimethyl15oxohexyl1h3hpurin26dione 37dimethyl15oxohexyl37dihydro1hpurine26dione 37dimethyl15oxohexylxanthine 37dimethyl15oxohexylxantine 37dimethyl15oxohexylpurine26dione,small molecular drug,pentoxifylline is a methylxanthine derivative used to treat intermittent claudication caused by chronic occlusive arterial disease of the limbs,c13h18n4o3
d00288,periciazine,aolept nemactil neulactil neuleptil pericyazine periciazina periciazine periciazinum piperocyanomazinepericiazine inn bayer 1409 ic 6002 rp 8908 wh 7508 neulactil tn neuleptil tn periciazina innspanish periciazinum innlatin propericiazine jan propericiazinejan skf 20716 cyano3 hydroxy4 piperidyl13 propyl10 phenothiazine cyano3 hydroxy4 piperidyl13 propyl10 phenothiazine french 1034hydroxypiperidinopropylphenothiazine2carbonitrile 1034hydroxypiperidin1ylpropyl10hphenothiazine2carbonitrile 1034hydroxypiperidin1ylpropylphenothiazine2carbonitrile 2cyano1034hydroxy1piperidylpropylphenothiazine 2cyano1034hydroxypiperidinopropylphenothiazine 6909 rp,small molecular drug,periciazine is a phenothiazine used with other medications to treat aggressiveness impulsiveness and hostility associated with psychiatric conditions such as schizophrenia,c21h23n3os
